Date and Time , MWh
04/01/2019 00:00 , 19590.21
04/01/2019 01:00 , 20055.89
04/01/2019 02:00 , 20622.81
04/01/2019 03:00 , 21377.88
04/01/2019 04:00 , 21927.59
04/01/2019 05:00 , 22489.33
04/01/2019 06:00 , 22987.45
04/01/2019 07:00 , 23543.32
04/01/2019 08:00 , 23750.65
04/01/2019 09:00 , 23991.63
04/01/2019 10:00 , 24538.76
04/01/2019 11:00 , 24273.01
04/01/2019 12:00 , 24502.56
04/01/2019 13:00 , 23999.81
04/01/2019 14:00 , 23810.97
04/01/2019 15:00 , 23565.12
04/01/2019 16:00 , 23599.28
04/01/2019 17:00 , 23265.44
04/01/2019 18:00 , 22936.97
04/01/2019 19:00 , 22567.27
04/01/2019 20:00 , 21953.72
04/01/2019 21:00 , 21414.32
04/01/2019 22:00 , 21319.32
04/01/2019 23:00 , 20015.5
